name,latitude,longitude,address,place_id,business_status,types,rating,user_ratings_total,queried_type
Tata Power Charging Station,23.3718669,85.3261236,"98CG+PCX, Near Firayalals Pulsar Plaza, Line Tank Rd, Gopal Gunj, Deputy Para, Ahirtoli, Ranchi",ChIJl05H0Q_h9DkR7ayb-emtdro,OPERATIONAL,"point_of_interest, establishment",3.9,11.0,electric_vehicle_charging_station
Statiq Charging Station,23.383625,85.290161,"74A & 74B, Road, inside The Showroom, Mo, Pahartoli, Piska, Ranchi",ChIJUWJaLL7g9DkR9GFq1O1cbfs,OPERATIONAL,"point_of_interest, establishment",2.4,7.0,electric_vehicle_charging_station
Tata Power EZ Charge Charging Station,23.378019,85.31480599999999,"Mall Of Ranchi, Ratu Rd, opp. Akashwani 304, near New Market Chowk, Kumhartoli, Ranchi",ChIJ6_DsCh7h9DkRRpyx4GdKIgM,OPERATIONAL,"point_of_interest, establishment",4.3,11.0,electric_vehicle_charging_station
BPCL Charging Station,23.2814203,85.4142571,"7CJ7+HP6, Ranchi, Ganrke",ChIJ7dffdBcd9TkRQy1s53X6tFA,OPERATIONAL,"point_of_interest, establishment",5.0,1.0,electric_vehicle_charging_station
BPCL Charging Station,23.304501,85.288535,"873Q+RC3 RO AT, 3, CTI Colony, Sector 4, Dhurwa, Ranchi",ChIJ5-APveYf9TkRu0acQX_KV94,OPERATIONAL,"point_of_interest, establishment",,,electric_vehicle_charging_station
Tata Power Charging Station,23.365018,85.310762,"Express Residency Private Limited, 55, Baralal St, Upper Bazar, Ranchi",ChIJ8UjaiP7g9DkR3nE3QBvhVwc,OPERATIONAL,"point_of_interest, establishment",3.0,4.0,electric_vehicle_charging_station
Electric Vehicle Charging Station,23.3476159,85.2809094,"87XJ+29V, Pundag, Ranchi",ChIJv_tWcADh9DkRPYT1nmB5kzU,OPERATIONAL,"point_of_interest, establishment",3.0,3.0,electric_vehicle_charging_station
Ather Grid Charging Station,23.3872996,85.33611309999999,"Indane Opp. Road, Karam Toli Chowk, near Bariatu Road, Karamtoli, M.V, Car, Ranchi",ChIJ4fMwc_7h9DkR5ezM43KP3lI,OPERATIONAL,"point_of_interest, establishment",2.6,5.0,electric_vehicle_charging_station
Tata Power Charging Station,23.371302,85.350737,"99C2+G7H Basudeb Auto, Kokar Industrial Area, Shanti Nagar, Ranchi",ChIJu4KZlnzh9DkRuaXSwtvS8g8,OPERATIONAL,"point_of_interest, establishment",,,electric_vehicle_charging_station
Electric Vehicle Charging Station,23.3852133,85.28716,"97PP+3VM, Shahdeo Nagar, Panchsheel Colony, Ranchi",ChIJww3nCgDh9DkRkcf591VEwRA,OPERATIONAL,"point_of_interest, establishment",3.5,2.0,electric_vehicle_charging_station
