name,latitude,longitude,address,place_id,business_status,types,rating,user_ratings_total,queried_type
Bharat Petroleum Petrol Pump,23.3657353,85.3112754,"9886+7GV, Bypass Road, near Hanuman Mandir Marg, Nizam Nagar, Harmu, Ranchi",ChIJfZCq1f3g9DkRszI62Jrz-WU,OPERATIONAL,"gas_station, point_of_interest, establishment",3.8,229.0,gas_station
Shree Gopal Automobiles,23.3797535,85.310816,"Jayaswal Petrol Pump, Ratu Rd, Aryapuri, Indrapuri Colony, Ranchi",ChIJrxZUTTDh9DkRU2WD9vXY5PM,OPERATIONAL,"gas_station, point_of_interest, establishment",4.0,8.0,gas_station
Hindustan Petroleum Corporation Limited,23.4008635,85.3661571,"Ground Floor, Bargain Rd, near Ranchi Medical College, Muharram Toli, Bariatu, Ranchi",ChIJVfmXj_Dj9DkRMKk2xO1NIV4,OPERATIONAL,"gas_station, point_of_interest, establishment",3.8,104.0,gas_station
HP Petrol Pump,23.3045,85.288538,"CTI Colony, Sector 4, Birsa Nagar, Ranchi",ChIJj8EPveYf9TkRptgtkx3RIzA,OPERATIONAL,"gas_station, point_of_interest, establishment",4.0,318.0,gas_station
IndianOil,23.3331048,85.30251,"Ground Floor, near Satellite Colony, Hec Gate 2, Balalong, Daud Nagar, Ranchi",ChIJeYmuNDjg9DkRwVutAwki8IA,OPERATIONAL,"gas_station, point_of_interest, establishment",4.3,1085.0,gas_station
Hindustan Petroleum Corporation Limited,23.4027672,85.3923607,"Ground Floor, NH 33, Booty, Ohdar Village, Dumardaga, Ranchi",ChIJu25-6oPj9DkRqSyB152lFg8,OPERATIONAL,"gas_station, point_of_interest, establishment",3.7,210.0,gas_station
IndianOil,23.371382,85.331711,"Ground Floor, Old, Hazaribagh Rd, Lalpur, Ranchi",ChIJlbUIcQ3h9DkRy9-K0AXuEPA,OPERATIONAL,"gas_station, point_of_interest, establishment",3.9,112.0,gas_station
IndianOil,23.363834,85.347336,"Chowk, Purulia Rd, near Ymca, Kantatoli, Ranchi",ChIJX3yi_3jh9DkRbvWtGv5VYx4,OPERATIONAL,"gas_station, point_of_interest, establishment",3.9,1256.0,gas_station
IndianOil,23.3797605,85.3095479,"Ground Floor, Ratu Rd, Church Road, Indrapuri Colony, Ranchi",ChIJVzMykHXh9DkRT161CH3mZX8,OPERATIONAL,"gas_station, point_of_interest, establishment",,,gas_station
IndianOil,23.3223985,85.3056036,"HEC Gate, Dhurwa, Ranchi",ChIJ7wb5sy_g9DkRateoX3m8jws,OPERATIONAL,"gas_station, point_of_interest, establishment",4.2,813.0,gas_station
IndianOil,23.4139989,85.3164635,"C878+GFV, Patratu, Kanke Rd, behind Reliance Smart, Jhirga Toli, Gandhi Nagar, Ranchi",ChIJb6_7UFvn9DkROpphMa6VR5I,OPERATIONAL,"gas_station, point_of_interest, establishment",4.0,50.0,gas_station
IndianOil,23.343884,85.324441,"Ground Floor, Forest Officers' Colony, Doranda, Ranchi",ChIJAVS1Dbrh9DkR16w0IXHSj_E,OPERATIONAL,"gas_station, point_of_interest, establishment",3.8,460.0,gas_station
IndianOil,23.3744626,85.31441149999999,"Garikhana, Harmu Rd, Ranchi",ChIJdYpSdx3h9DkRAZnWEtk7pK4,OPERATIONAL,"gas_station, point_of_interest, establishment",3.8,491.0,gas_station
IndianOil,23.3622936,85.2297282,"Khata No 87, Plot No 839, Ranchi Ring Rd, Nagri, Balalong, Ranchi",ChIJLUPk6Ish9TkRU4DqfOPJe8g,OPERATIONAL,"gas_station, point_of_interest, establishment",4.3,33.0,gas_station
Ram Bilas Prasad and Sons,23.3801856,85.3050184,"Ratu Rd, Kumhartoli, Ranchi",ChIJjwoXNObg9DkRVHRjXCuCUZY,OPERATIONAL,"gas_station, point_of_interest, establishment",4.0,614.0,gas_station
IndianOil,23.4224075,85.2008149,"Ground Floor NH 75, Brajpur, Bijjulia, Ratu, Ranchi",ChIJbyABGRLc9DkRnfqdjuFTVZI,OPERATIONAL,"gas_station, point_of_interest, establishment",4.3,82.0,gas_station
IndianOil,23.4063953,85.2290515,"Ground Floor Pirra, opposite All India Radio Transmis, Bijulia, Ranchi",ChIJl6sZkyrc9DkR1L65RpZ_Q6k,OPERATIONAL,"gas_station, point_of_interest, establishment",3.9,169.0,gas_station
Indian Oil,23.3924451,85.3138949,"Ground Floor, Kanke Rd, near Jawahar Nagar, Jawahar Nagar, Hatma, Ranchi",ChIJX1OOfifh9DkRLQtF8CKkq4M,OPERATIONAL,"gas_station, point_of_interest, establishment",3.8,382.0,gas_station
